Customer,SSN,Birthdate,Age,Region,CredCardUser,Income,Purchases,AmountSpent
1,539-84-9599,10.26.44,72, East,0,62900,4,2080
2,444-05-4079,01.01.32,67,West,1,23300,0,0
3,418-18-5649,08.17.73,25,East,1,48700,8,3990
4,065-63-3311,08.02.47,51,West,1,137600,2,920
5,059-58-9566,10.03.48,50,East,0,101400,2,1000
6,443-13-8685,03.24.60,39,East,0,139700,1,550
7,638-89-7231,12.02.43,55,South,1,50900,3,1400
8,202-94-6453,11.08.74,24,South,1,50500,0,0
9,266-29-0308,09.28.67,31,North,0,151400,2,910
10,943-85-8301,07.05.65,33,West,0,88300,2,1080
11,047-07-5332,11.13.64,34,North,0,120300,3,1390
12,503-14-3400,03.21.34,65,East,0,25800,1,560
13,690-97-5817,12.29.60,38,West,0,65500,1,410
14,614-59-6703,08.01.72,26,South,1,54400,9999,9999
15,704-98-5642,05.01.52,46,North,0,54500,7,3570
16,588-92-9590,08.29.39,59,South,0,143500,2,1070
17,267-58-0440,04.05.57,42,East,1,40500,2,950
18,833-81-4506,11.01.67,31,West,1,61900,2,930
19,645-20-8840,03.02.58,41,West,1,106300,2,1010
20,700-29-4704,01.10.33,66,South,0,133700,3,1570
21,443-16-6366,11.28.38,60,South,1,101900,3,1560
22,932-34-0537,09.22.47,51,West,0,83000,3,1440
23,943-09-9693,12.08.76,22, North,1,150500,0,0
24,429-27-7896,09.08.30,68, North,0,24600,2,1080
25,977-81-8641,07.03.62,36,East,0,108500,6,3220
26,637-52-5564,01.28.53,46, East,0,92600,5,2260
27,208-24-5411,11.05.45,53,East,0,129100,1,580
28,326-15-9711,02.08.62,37, East,1,101500,2,1040
29,437-20-5008,10.20.41,57, East,0,75800,3,1640
30,168-38-3752,01.10.51,48,East,0,80500,7,3640
31,564-00-1130,06.19.30,68,East,1,151000,5,2460
32,151-72-6670,06.17.49,49,North,1,36800,3,1520
33,508-92-0528,01.23.67,32,East,0,130100,0,0
34,659-67-6522,02.03.42,57, West,0,43800,1,510
35,166-81-0189,01.28.39,60,North,1,103800,3,1630
36,071-68-0276,06.04.66,32,North,0,20100,3,1520
37,498-98-3229,04.13.73,26,North,0,84300,3,1700
38,267-99-6806,07.08.57,41,East,1,123700,5,2700
39,356-51-5288,10.20.47,51,East,0,132300,4,1910
40,081-45-2678,01.31.50,49,South,0,147300,2,1040
41,006-59-5729,11.07.42,56,West,1,59100,7,460
42,176-72-8671,04.24.62,36,South,0,133200,4,2230
43,053-13-0416,01.21.30,69,West,1,146300,1,480
44,069-34-0131,02.04.68,31,South,0,138900,2,1150
45,710-56-1876,05.15.73,25,East,1,145700,1,520
46,926-75-2882,06.14.74,24,North,0,93900,2,1000
47,601-10-4503,12.19.48,50,East,1,9999,2,1020
48,309-29-2521,05.19.61,37,West,1,92600,3,1490
49,539-79-0361,02.23.72,27,East,0,94900,1,520
50,912-79-4136,04.09.57,42,North,0,108700,2,1060
51,669-39-4544,10.05.33,65,West,0,149,2,1010
52,318-19-1132,01.25.60,39,East,0,158700,2,980
53,300-80-8755,06.28.53,45,South,0,34900,1,430
54,081-96-6992,05.14.46,52,South,1,54500,8,4030
55,183-43-4916,10.22.32,66,East,0,154200,7,3410
56,811-50-5929,06.14.37,61, East,0,86200,3,1490
57,380-14-0708,10.02.65,33, East,0,76000,3,1620
